mechanism,kappa,cohort_replicate,unit_index,family,phi,lambda,neff_p,neff_var,threshold_calibration_max_error,theta_obs,theta_native_null_median,delta_theta,p_native,native_reject_005,delta_positive,native_null_valid_fraction,native_spectral_error_median,native_count_exact_fraction,native_group_count_exact_fraction,injection_monthly_multiset_exact,injection_monthly_event_count_exact,annual_count_mean,annual_count_sd,annual_count_ac1,monthly_indicator_ac1,monthly_indicator_ac12
history_feedback,1.0,22,2,gaussian,0.5,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,0.7624503356624195,0.7317514246553174,-0.030698911007102,0.5489021956087824,False,False,1.0,0.0066959535415974,1.0,1.0,True,True,2.9800796812749004,1.9029233103635568,0.4712320096829533,0.6010118785745712,0.584182049294932
history_feedback,1.0,22,3,periodic,0.8,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,0.8212571605511689,0.82235763535083,0.001100474799661,0.497005988023952,False,True,1.0,0.006901977107553,1.0,1.0,True,True,3.047808764940239,2.102385568578466,0.4794342903878885,0.6619445357128447,0.6071351133746902
history_feedback,1.0,22,4,gaussian,0.8,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,0.4834627552487777,0.7993493723903327,0.3158866171415549,0.0159680638722554,True,True,1.0,0.0063209774619196,1.0,1.0,True,True,3.0756972111553784,1.9995634513483984,0.5259598227751573,0.64255653771094,0.6477432731655786
history_feedback,1.0,22,5,tinnov,0.2,4.0,4.964583905619269,6.206923406679964,,0.8403595458368377,0.8227734981734824,-0.0175860476633552,0.5409181636726547,False,False,1.0,0.0077314294738942,1.0,1.0,True,True,3.0239043824701195,1.83574140575016,0.4334724552873514,0.5777873992653529,0.5895994624646277
history_feedback,1.0,22,6,gaussian,0.2,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,0.8323426573426573,0.8201697036238724,-0.0121729537187849,0.5249500998003992,False,False,1.0,0.0073201339627648,1.0,1.0,True,True,3.0278884462151394,1.83459971086598,0.4663428179165415,0.5824008841000137,0.6086066084794237
history_feedback,1.0,22,7,tinnov,0.8,4.0,4.964583905619269,6.206923406679964,,0.5997228753778973,1.0,0.4002771246221027,0.0119760479041916,True,True,1.0,0.0096904593291417,1.0,1.0,True,True,2.960159362549801,1.9996031415277289,0.4197906382810814,0.6376023976023975,0.5951744246234716
history_feedback,1.0,23,0,tinnov,0.8,4.0,4.964583905619269,6.206923406679964,,0.7938348879070528,0.698334218158065,-0.0955006697489878,0.7604790419161677,False,False,1.0,0.0119884801181008,1.0,1.0,True,True,2.9362549800796813,2.1227097615542987,0.5233105591611691,0.6406643082458388,0.6180687948749065
history_feedback,1.0,23,1,tinnov,0.2,4.0,4.964583905619269,6.206923406679964,,0.724020038028375,0.8051400877465771,0.081120049718202,0.2734530938123752,False,True,1.0,0.0091678160336309,1.0,1.0,True,True,2.9840637450199203,1.861687807862677,0.4852756801368738,0.5804811124539757,0.5962744530282005
history_feedback,1.0,23,2,gaussian,0.5,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,0.9067521367521368,0.6548916990393316,-0.2518604377128051,0.9281437125748504,False,False,1.0,0.0067408626062701,1.0,1.0,True,True,3.055776892430279,1.873721740648379,0.4110567223579709,0.613483215956763,0.5966273860889172
history_feedback,1.0,23,3,periodic,0.5,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,0.9159891598915988,0.8998343598994265,-0.0161547999921723,0.530938123752495,False,False,1.0,0.0057621039920017,1.0,1.0,True,True,2.99203187250996,2.056942441138171,0.4690905473765049,0.6377685398748908,0.5693407257624301
history_feedback,1.0,23,4,gaussian,0.2,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,0.5903895845756311,0.7537534412493088,0.1633638566736777,0.1437125748502994,False,True,1.0,0.0063440791980824,1.0,1.0,True,True,2.952191235059761,1.83527443459602,0.5023156839324,0.589566952374206,0.5972809780777518
history_feedback,1.0,23,5,gaussian,0.8,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,0.6922036953582695,0.8542497707319952,0.1620460753737256,0.1497005988023952,False,True,1.0,0.0079736979275592,1.0,1.0,True,True,3.0677290836653386,2.1008901600162124,0.4739807678668907,0.6561469180100716,0.6084749018177007
history_feedback,1.0,23,6,periodic,0.8,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,0.5203971119133574,0.7438600652485103,0.2234629533351529,0.0678642714570858,False,True,1.0,0.0065829607740627,1.0,1.0,True,True,3.0358565737051797,2.1411145874614124,0.4707058171016873,0.6473217550592556,0.5994540682414697
history_feedback,1.0,23,7,tinnov,0.5,4.0,4.964583905619269,6.206923406679964,,0.9785553047404064,0.7794495515411918,-0.1991057531992145,0.8542914171656687,False,False,1.0,0.0071221996165559,1.0,1.0,True,True,3.03187250996016,1.9100750073091597,0.3853892112615791,0.6184870641495454,0.5685233931787912
history_feedback,1.0,24,0,gaussian,0.8,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,0.7416225749559083,0.743983065923175,0.0023604909672666,0.497005988023952,False,True,1.0,0.0083247562916129,1.0,1.0,True,True,3.0836653386454183,1.9912588141409968,0.4755873959678076,0.6451898248607302,0.6389401900662558
history_feedback,1.0,24,1,gaussian,0.2,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,0.6402995834668376,0.8565331253583387,0.2162335418915011,0.1057884231536926,False,True,1.0,0.0055124812533458,1.0,1.0,True,True,2.9163346613545817,1.8044246502086647,0.4855463008329249,0.5673733998325593,0.5791115665665173
history_feedback,1.0,24,2,tinnov,0.2,4.0,4.964583905619269,6.206923406679964,,0.645316301703163,0.701676104841547,0.0563598031383839,0.3692614770459081,False,True,1.0,0.008767358104535,1.0,1.0,True,True,2.900398406374502,1.923341589307736,0.425262319162934,0.591468409867454,0.5573066791176332
history_feedback,1.0,24,3,periodic,0.2,4.0,4.964583905619269,6.206923406679964,2.775557561562892e-17,0.8292012448132781,0.7867990364020678,-0.0424022084112102,0.6187624750499002,False,False,1.0,0.0061057339397462,1.0,1.0,True,True,2.896414342629482,1.793421769984198,0.4440462588076315,0.5792083111793487,0.5978582693810294
history_feedback,1.0,24,4,tinnov,0.5,4.0,4.964583905619269,6.206923406679964,,0.9062547673531656,0.9257233270005986,0.0194685596474329,0.4650698602794411,False,True,1.0,0.0095208189627601,1.0,1.0,True,True,2.952191235059761,1.9834236315206517,0.4604104092813065,0.6234722910911193,0.5922830323962334
history_feedback,1.0,24,5,periodic,0.5,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,0.631717399473882,0.8973943344864471,0.2656769350125652,0.0578842315369261,False,True,1.0,0.0085343957318389,1.0,1.0,True,True,3.0597609561752988,1.866141582251852,0.395759744092458,0.616965349146342,0.5802155484581666
