mechanism,kappa,cohort_replicate,n_units,positive_units,sign_gate_6of8,aggregate_stat_mean_delta,aggregate_p,aggregate_reject_005,full_gate_pass,mean_delta_theta,median_delta_theta,mean_theta_obs,mean_theta_null_center,unit_native_reject_fraction,unit_positive_fraction,native_null_valid_fraction_min,native_spectral_error_median,native_count_exact_fraction_min,native_group_count_exact_fraction_min,injection_multiset_exact_all,injection_event_count_exact_all
persistent_regime_alignment,0.6,25,8,2,False,-0.1176959866658633,0.998003992015968,False,False,-0.1176959866658633,-0.1582396908919552,0.6578270852922021,0.5401310986263388,0.0,0.25,1.0,0.010422568792243,1.0,1.0,True,True
persistent_regime_alignment,0.6,26,8,3,False,-0.0077023753000317,0.5249500998003992,False,False,-0.0077023753000317,-0.025669907768491,0.496854293604591,0.4891519183045592,0.0,0.375,1.0,0.0119101820075145,1.0,1.0,True,True
persistent_regime_alignment,0.6,27,8,5,False,0.0404663664291218,0.1297405189620758,False,False,0.0404663664291218,0.0580385853683514,0.5064942802055796,0.5469606466347013,0.0,0.625,1.0,0.0119813537256003,1.0,1.0,True,True
persistent_regime_alignment,0.6,28,8,7,True,0.1009104850890696,0.0039920159680638,True,True,0.1009104850890696,0.11911687025403,0.4776936163704896,0.5786041014595593,0.0,0.875,1.0,0.0127030325616166,1.0,1.0,True,True
persistent_regime_alignment,0.6,29,8,5,False,0.0277518779084228,0.279441117764471,False,False,0.0277518779084228,0.0507819869442545,0.5707676960338519,0.5985195739422748,0.0,0.625,1.0,0.0134540077570728,1.0,1.0,True,True
persistent_regime_alignment,0.6,30,8,6,True,0.0651114678849463,0.0638722554890219,False,False,0.0651114678849463,0.092762121599516,0.5067589362420903,0.5718704041270368,0.0,0.75,1.0,0.0141922516256607,1.0,1.0,True,True
persistent_regime_alignment,0.6,31,8,5,False,0.0466424390235888,0.1077844311377245,False,False,0.0466424390235888,0.0527197124984124,0.4764546623200481,0.523097101343637,0.25,0.625,1.0,0.0112703242601415,1.0,1.0,True,True
persistent_regime_alignment,0.6,32,8,4,False,0.0092763588070752,0.4031936127744511,False,False,0.0092763588070752,0.0046093023250776,0.5303694685911723,0.5396458273982475,0.0,0.5,1.0,0.0131920339205258,1.0,1.0,True,True
persistent_regime_alignment,0.6,33,8,5,False,0.0519294207700614,0.0878243512974051,False,False,0.0519294207700614,0.0725016594863172,0.5012444018247078,0.5531738225947693,0.0,0.625,1.0,0.0128823770827342,1.0,1.0,True,True
persistent_regime_alignment,0.6,34,8,6,True,0.0215210421721747,0.2994011976047904,False,False,0.0215210421721747,0.0347449207586003,0.5455682391861365,0.5670892813583112,0.0,0.75,1.0,0.0118679475349748,1.0,1.0,True,True
persistent_regime_alignment,0.6,35,8,2,False,-0.0408642686256751,0.812375249500998,False,False,-0.0408642686256751,-0.0309037290341826,0.562338903778869,0.5214746351531938,0.0,0.25,1.0,0.0129029111017522,1.0,1.0,True,True
persistent_regime_alignment,0.6,36,8,4,False,0.0159967700408056,0.3093812375249501,False,False,0.0159967700408056,-0.0075585490516625,0.5294898593122696,0.5454866293530751,0.25,0.5,1.0,0.0121665558213247,1.0,1.0,True,True
persistent_regime_alignment,0.6,37,8,4,False,-0.030852108806534,0.7225548902195609,False,False,-0.030852108806534,-0.0351408690148302,0.6021881330322203,0.5713360242256862,0.0,0.5,1.0,0.0127843246740465,1.0,1.0,True,True
persistent_regime_alignment,0.6,38,8,7,True,0.0307638176495778,0.1796407185628742,False,False,0.0307638176495778,0.0370623920105011,0.4937671228394232,0.5245309404890011,0.125,0.875,1.0,0.0115178349583892,1.0,1.0,True,True
persistent_regime_alignment,0.6,39,8,5,False,0.0087481289771448,0.3772455089820359,False,False,0.0087481289771448,0.0167294620471017,0.5531839531898614,0.5619320821670062,0.0,0.625,1.0,0.0159920879504495,1.0,1.0,True,True
persistent_regime_alignment,0.6,40,8,3,False,-0.0159670642716133,0.5828343313373253,False,False,-0.0159670642716133,-0.0412057445248941,0.5845832806385906,0.5686162163669771,0.0,0.375,1.0,0.0130451728008118,1.0,1.0,True,True
persistent_regime_alignment,0.6,41,8,4,False,0.0211827370504953,0.2754491017964072,False,False,0.0211827370504953,0.0075934759768697,0.5127032662774798,0.5338860033279751,0.0,0.5,1.0,0.0133381513673004,1.0,1.0,True,True
persistent_regime_alignment,0.6,42,8,4,False,-0.0226193355950717,0.6726546906187625,False,False,-0.0226193355950717,-0.0102939801651756,0.6176882009060878,0.5950688653110161,0.0,0.5,1.0,0.0159898380861207,1.0,1.0,True,True
persistent_regime_alignment,0.6,43,8,5,False,0.0177247452077866,0.2994011976047904,False,False,0.0177247452077866,0.0337685472535637,0.4994592457657468,0.5171839909735334,0.125,0.625,1.0,0.0126566358206193,1.0,1.0,True,True
persistent_regime_alignment,0.6,44,8,7,True,0.0920746807135666,0.0079840319361277,True,True,0.0920746807135666,0.098201730150156,0.450901391050153,0.5429760717637198,0.25,0.875,1.0,0.0119358843099068,1.0,1.0,True,True
persistent_regime_alignment,0.6,45,8,8,True,0.0929684217285085,0.0099800399201596,True,True,0.0929684217285085,0.0714947448383719,0.4196598923405301,0.5126283140690386,0.0,1.0,1.0,0.0090128916793047,1.0,1.0,True,True
