statistic,obs_stat,p_oracle,p_native,p_index,rej_oracle,rej_native,rej_index,null_mean_oracle,null_sd_oracle,null_mean_native,null_sd_native,null_mean_index,null_sd_index,wasserstein_native_oracle,wasserstein_index_oracle,wasserstein_native_oracle_scaled,wasserstein_index_oracle_scaled,phi,rep,condition,condition_type,lambda_value,tau,native_spectral_error_median,index_spectral_error_median
ferro_segers,1.0,1.0,1.0,1.0,False,False,False,0.9625363658066517,0.07155143998336369,0.979560722868013,0.05305373110640644,0.9796881013573706,0.058347719486013784,0.017024357061361205,0.017817046917228303,0.23793171828993953,0.2490103193083314,0.2,1,soft_lam4_tau0.1_cubic,soft,4.0,0.1,0.0002181838979254009,0.00024036770304904626
ntv,1.1204986332648084,0.592,0.544,0.208,False,False,False,1.110972140572737,0.043406809919691966,1.1174142953897308,0.04026828430429195,1.1360727172714182,0.018781567640130795,0.006898827495111612,0.029426419747458753,0.15893422041092878,0.6779217316799211,0.2,1,count_lam4_cubic,hard,4.0,0.0,0.0002181838979254009,0.004657001661581244
ferro_segers,1.0,1.0,1.0,1.0,False,False,False,0.9294505856421218,0.10928454076831214,0.9477173955713247,0.10512888363671742,0.9718604503347408,0.0754137302191087,0.01980337699190879,0.04240986469261905,0.18120931700571252,0.3880682884739367,0.2,1,count_lam4_cubic,hard,4.0,0.0,0.0002181838979254009,0.004657001661581244
ntv,1.1712595195368585,0.912,0.644,0.464,False,False,False,1.1190978793361754,0.041679795501379874,1.1614301851349087,0.027378275435560925,1.1710693718811505,0.01794658327725795,0.04233230579873331,0.05226831786991379,1.0156553142716795,1.254044489450131,0.2,2,mean_raw,mean_raw,,,0.00022277727040846695,0.00019296417648095382
ferro_segers,1.0,1.0,1.0,1.0,False,False,False,0.962521571625638,0.07666529637065601,0.9654114238222476,0.07551239524969841,0.9681806369854667,0.0731267429627358,0.004391189334929024,0.00621593599579988,0.057277406373006226,0.08107887518946652,0.2,2,mean_raw,mean_raw,,,0.00022277727040846695,0.00019296417648095382
ntv,1.1735013972391022,0.892,0.608,0.576,False,False,False,1.1262949634176018,0.041084021946970126,1.16587532001354,0.027470346032986925,1.171486427500029,0.018106164234450873,0.039580356595938226,0.04548599887219059,0.9634002398067847,1.107145715453623,0.2,2,mean_cubic,mean_cubic,,,0.00022277727040846695,0.0001860493726367341
ferro_segers,1.0,1.0,1.0,1.0,False,False,False,0.9731450917519756,0.060046518525284635,0.971015491123706,0.07514132705602376,0.9768735952431692,0.06674225380591339,0.007975394294740788,0.007970506431641785,0.13282026153410503,0.13273886026024193,0.2,2,mean_cubic,mean_cubic,,,0.00022277727040846695,0.0001860493726367341
ntv,1.0304938785095343,0.056,0.004,0.316,False,True,False,1.1013498929198215,0.04429787510611437,1.1370449803088607,0.03509703831367076,1.0415939719091842,0.02194020659268349,0.03580894996849165,0.05995213097169138,0.8083672158701127,1.3533861574190107,0.2,2,count_lam0_raw,hard_raw,0.0,0.0,0.00022277727040846695,0.01606550847786926
ntv,1.103873660010929,0.52,0.404,0.588,False,False,False,1.1011920175549847,0.046342580854673715,1.1149937119756945,0.041573564085508184,1.0982336799756607,0.023441918438014644,0.013943641065269817,0.018690492257372928,0.30088184145367,0.4033114235908587,0.2,2,count_lam4_raw,hard_raw,4.0,0.0,0.00022277727040846695,0.025047890306568617
ntv,1.1708119509039456,0.884,0.556,0.632,False,False,False,1.126564393895457,0.041540060585975314,1.1661196130563558,0.027731996567566496,1.1656002648233623,0.017901970294092538,0.03955521916089861,0.040256368246205466,0.95221861987975,0.9690974851345487,0.2,2,soft_lam0_tau2_cubic,soft,0.0,2.0,0.00022277727040846695,0.00017158176270017002
ferro_segers,0.9159746686797517,0.148,0.12,0.124,False,False,False,0.9654104261424958,0.08060179158282672,0.9774199752628808,0.061599997767562704,0.9691299581363719,0.07712265318881799,0.012009549120385148,0.004488532532511694,0.14899853817820025,0.0556877514056156,0.2,2,soft_lam0_tau2_cubic,soft,0.0,2.0,0.00022277727040846695,0.00017158176270017002
