condition,condition_type,lambda_value,tau,statistic,phi,n,oracle_reject_rate,native_reject_rate,index_reject_rate,index_only_vs_native,native_only_vs_index,index_only_count,native_only_count,paired_exact_p,index_only_vs_oracle,oracle_only_vs_index,median_null_sd_oracle,median_null_sd_native,median_null_sd_index,median_sd_ratio_native_oracle,median_sd_ratio_index_oracle,median_wasserstein_native_oracle_scaled,median_wasserstein_index_oracle_scaled,median_index_spectral_error,median_native_spectral_error
soft_lam0_tau0.25_cubic,soft,0.0,0.25,ntv,0.2,100,0.04,0.05,0.05,0.04,0.04,4,4,1.0,0.04,0.03,0.04125542770686635,0.03312031091858035,0.017797993918749193,0.8006815682534086,0.42912415535492904,0.43521430066528194,0.7056039153276998,0.00019574761402200614,0.0002234658338465916
soft_lam0_tau0.25_cubic,soft,0.0,0.25,ferro_segers,0.2,100,0.03,0.06,0.06,0.01,0.01,1,1,1.0,0.04,0.01,0.07079245787853052,0.06668579393837842,0.06820336561851248,0.9267561182643296,0.9342851278800943,0.12217640720597933,0.132909199320822,0.00019574761402200614,0.0002234658338465916
soft_lam0_tau0.1_cubic,soft,0.0,0.1,ntv,0.2,100,0.05,0.06,0.04,0.02,0.04,2,4,0.6875,0.03,0.04,0.04139205810226525,0.035313079448938196,0.017799864416854973,0.8481000209936786,0.43195818965128197,0.367665658187977,0.7019068153873822,0.00019924366075971204,0.0002234658338465916
soft_lam0_tau0.1_cubic,soft,0.0,0.1,ferro_segers,0.2,100,0.03,0.06,0.04,0.01,0.03,1,3,0.625,0.02,0.01,0.07020176068925948,0.0666815398045315,0.06607500005816241,0.9405675101159312,0.9538777318768793,0.12277080029062853,0.13423264934839696,0.00019924366075971204,0.0002234658338465916
count_lam0_cubic,hard,0.0,0.0,ntv,0.2,100,0.04,0.04,0.11,0.09,0.02,9,2,0.0654296875,0.09,0.02,0.042751755968362934,0.03788257261970293,0.01884605911391883,0.8875204545082775,0.4464655337545056,0.30490132844685386,0.7526452025572705,0.0025871354505938994,0.0002234658338465916
count_lam0_cubic,hard,0.0,0.0,ferro_segers,0.2,100,0.04,0.07,0.1,0.03,0.0,3,0,0.25,0.06,0.0,0.100056095771693,0.10024527126792258,0.06774980520821403,0.9916812879016511,0.668483669729938,0.11812255808334943,0.2846668138268387,0.0025871354505938994,0.0002234658338465916
soft_lam4_tau2_cubic,soft,4.0,2.0,ntv,0.2,100,0.03,0.05,0.05,0.04,0.04,4,4,1.0,0.05,0.03,0.04035232459925052,0.02815992254839656,0.018387797360750368,0.7007511463047531,0.45342795119771473,0.548061717755709,0.6918179915937004,0.0001866617544932846,0.0002234658338465916
soft_lam4_tau2_cubic,soft,4.0,2.0,ferro_segers,0.2,100,0.04,0.03,0.03,0.0,0.0,0,0,1.0,0.0,0.01,0.07073924987456932,0.06584010837678338,0.06750518948639284,0.9241805575503694,0.9652385611951388,0.14707320673404453,0.1449531367637622,0.0001866617544932846,0.0002234658338465916
soft_lam4_tau1_cubic,soft,4.0,1.0,ntv,0.2,100,0.07,0.04,0.06,0.04,0.02,4,2,0.6875,0.04,0.05,0.0403298132712349,0.030663861859874963,0.018194683300340554,0.7594321698561514,0.44864773827537857,0.48836404391930577,0.6513239279563421,0.00018692424478528556,0.0002234658338465916
soft_lam4_tau1_cubic,soft,4.0,1.0,ferro_segers,0.2,100,0.06,0.07,0.09,0.03,0.01,3,1,0.625,0.04,0.01,0.07113390936550555,0.06812137215346392,0.06842681115563531,0.95198357064245,0.9659272505349246,0.13120590711248112,0.12373340346629882,0.00018692424478528556,0.0002234658338465916
soft_lam4_tau0.5_cubic,soft,4.0,0.5,ntv,0.2,100,0.07,0.06,0.05,0.04,0.05,4,5,1.0,0.03,0.05,0.04045894622352281,0.03389936866413268,0.018179864114365004,0.8383368403876675,0.4502613232166617,0.3618942663423594,0.619196100574632,0.00018188838410502053,0.0002234658338465916
soft_lam4_tau0.5_cubic,soft,4.0,0.5,ferro_segers,0.2,100,0.03,0.04,0.03,0.0,0.01,0,1,1.0,0.0,0.0,0.07211548982518151,0.06613434172289621,0.064606757506009,0.9194615438680589,0.916592415033818,0.12043886541865739,0.1308446669944097,0.00018188838410502053,0.0002234658338465916
soft_lam4_tau0.25_cubic,soft,4.0,0.25,ntv,0.2,100,0.06,0.05,0.05,0.02,0.02,2,2,1.0,0.02,0.03,0.040359857662376736,0.036081795720841095,0.018094216748852886,0.8860144815482462,0.4456470880807926,0.2746364621434447,0.6219635214992538,0.00018807375776727777,0.0002234658338465916
soft_lam4_tau0.25_cubic,soft,4.0,0.25,ferro_segers,0.2,100,0.06,0.07,0.05,0.0,0.02,0,2,0.5,0.0,0.01,0.07348762016583707,0.07020424900612221,0.06848178162608858,0.9420137583568293,0.9424124640789976,0.09668889280326476,0.11730450594091654,0.00018807375776727777,0.0002234658338465916
soft_lam4_tau0.1_cubic,soft,4.0,0.1,ntv,0.2,100,0.04,0.06,0.05,0.03,0.04,3,4,1.0,0.04,0.03,0.04089109295316426,0.0376399516811588,0.018277564617492477,0.9173687758168827,0.4481748084001005,0.23770007131307733,0.6517878162729193,0.0002527472736273689,0.0002234658338465916
soft_lam4_tau0.1_cubic,soft,4.0,0.1,ferro_segers,0.2,100,0.09,0.07,0.07,0.02,0.02,2,2,1.0,0.0,0.02,0.07283457956491246,0.07162297261971107,0.06825219039267824,1.0096372488636822,0.9309266784363821,0.07885166158721353,0.11836374696044288,0.0002527472736273689,0.0002234658338465916
count_lam4_cubic,hard,4.0,0.0,ntv,0.2,100,0.04,0.04,0.13,0.1,0.01,10,1,0.01171875,0.11,0.02,0.04337768002884312,0.04076700443723512,0.020392893901455565,0.9252032580704078,0.4658762346815646,0.22281466161271263,0.7686477697088286,0.006199621833780507,0.0002234658338465916
count_lam4_cubic,hard,4.0,0.0,ferro_segers,0.2,100,0.08,0.06,0.15,0.09,0.0,9,0,0.00390625,0.07,0.0,0.11283364110351587,0.10658482403819818,0.06964345888711951,0.9524118541449114,0.6017402301097874,0.11206539075678429,0.36118079641066914,0.006199621833780507,0.0002234658338465916
