family,phi,lambda,replicate,theta_obs_independent,theta_obs_raw_independent,p_annual_independent,p_native_independent,annual_reject_independent,native_reject_independent,annual_only_independent,native_only_independent,annual_spectral_error_median,native_spectral_error_median,native_month_exact_fraction,theta_obs,theta_abs_diff
gaussian,0.5,4.0,253,0.8352281254690079,0.8352281254690079,0.09,0.38,False,False,False,False,0.0006315095454693155,0.00021624758966457564,1.0,0.8352281254690079,0.0
gaussian,0.5,4.0,270,1.0,1.1400759734093067,1.0,1.0,False,False,False,False,0.0013498611225607048,0.0002036157165988782,1.0,1.0,0.0
gaussian,0.8,0.0,27,0.9227358303606817,0.9227358303606817,0.35,0.43,False,False,False,False,0.0005671274961281811,0.00021304648620671654,1.0,0.9227358303606816,1.1102230246251565e-16
gaussian,0.8,0.0,72,1.0,1.0755555555555556,1.0,1.0,False,False,False,False,0.0016825370066374222,0.00022253924697227917,1.0,1.0,0.0
gaussian,0.8,0.0,73,1.0,1.0606298837430912,1.0,1.0,False,False,False,False,0.0005987512660155943,0.0002136605796530589,1.0,1.0,0.0
gaussian,0.8,0.0,96,1.0,1.0455040278684955,1.0,1.0,False,False,False,False,0.0005301360379244129,0.0002196458725586469,1.0,1.0,0.0
gaussian,0.8,0.0,118,1.0,1.3732085067036524,1.0,1.0,False,False,False,False,0.0012930623731434037,0.00022857913746918712,1.0,1.0,0.0
gaussian,0.8,0.0,203,0.9319008337768316,0.9319008337768316,0.29,0.32,False,False,False,False,0.0007956726464255457,0.00021409305023335794,1.0,0.9319008337768316,0.0
gaussian,0.8,0.0,215,0.9853920118343196,0.9853920118343196,0.45,0.51,False,False,False,False,0.002235511408149566,0.00021965915174451,1.0,0.9853920118343196,0.0
gaussian,0.8,0.0,248,1.0,1.5177633307065932,1.0,1.0,False,False,False,False,0.00045285590653588667,0.00022444365165176307,1.0,1.0,0.0
gaussian,0.8,0.0,256,0.8712660028449503,0.8712660028449503,0.1,0.12,False,False,False,False,0.0027000180438069405,0.000209530723962382,1.0,0.8712660028449503,0.0
gaussian,0.8,0.0,288,0.8662731006160165,0.8662731006160165,0.47,0.27,False,False,False,False,0.0005181259994982174,0.00021493714146290037,1.0,0.8662731006160165,0.0
gaussian,0.8,0.5,12,1.0,1.0387407004173472,1.0,1.0,False,False,False,False,0.0017992612670008825,0.00021800720952723247,1.0,1.0,0.0
gaussian,0.8,0.5,67,1.0,1.1350222222222222,1.0,1.0,False,False,False,False,0.003997939793954337,0.0002100931273726682,1.0,1.0,0.0
gaussian,0.8,0.5,85,0.8743266405484819,0.8743266405484819,0.33,0.18,False,False,False,False,0.0005958046119057724,0.0002297598951947221,1.0,0.8743266405484819,0.0
gaussian,0.8,0.5,126,1.0,1.051904761904762,1.0,1.0,False,False,False,False,0.0009488700087821155,0.00021083095986688133,1.0,1.0,0.0
gaussian,0.8,0.5,138,0.9438844086021505,0.9438844086021505,0.21,0.28,False,False,False,False,0.000601173474270627,0.00021117591072280592,1.0,0.9438844086021504,1.1102230246251565e-16
gaussian,0.8,0.5,150,1.0,1.0532648533950617,1.0,1.0,False,False,False,False,0.0009028870152704197,0.00022904595562460043,1.0,1.0,0.0
gaussian,0.8,0.5,151,1.0,1.1912637828668362,1.0,1.0,False,False,False,False,0.0007898613464993813,0.00021362825375873911,1.0,1.0,0.0
gaussian,0.8,0.5,188,0.9584245575624886,0.9584245575624886,0.28,0.41,False,False,False,False,0.0013860945871847759,0.000221823920058575,1.0,0.9584245575624886,0.0
gaussian,0.8,0.5,205,1.0,1.1593481654957065,1.0,1.0,False,False,False,False,0.0008266190655865104,0.00019869394947614623,1.0,1.0,0.0
gaussian,0.8,0.5,243,1.0,1.1801565734989647,1.0,1.0,False,False,False,False,0.0016018182858461576,0.00020836952265532635,1.0,1.0,0.0
gaussian,0.8,1.0,51,0.8607416101547557,0.8607416101547557,0.19,0.25,False,False,False,False,0.00047352168406364646,0.00021312830835523372,1.0,0.8607416101547557,0.0
gaussian,0.8,1.0,70,1.0,1.0469806118818925,1.0,1.0,False,False,False,False,0.0027546728577095125,0.00021787625961075638,1.0,1.0,0.0
gaussian,0.8,1.0,110,0.7544085231447465,0.7544085231447465,0.06,0.1,False,False,False,False,0.003301850433702517,0.00021314294275906755,1.0,0.7544085231447465,0.0
gaussian,0.8,1.0,153,1.0,1.0647765308131523,1.0,1.0,False,False,False,False,0.0011725850926507472,0.00023015106653772542,1.0,1.0,0.0
gaussian,0.8,1.0,185,1.0,1.1112046389824168,1.0,1.0,False,False,False,False,0.0003590480912348496,0.0002362741456023252,1.0,1.0,0.0
gaussian,0.8,1.0,191,1.0,1.13250407000407,1.0,1.0,False,False,False,False,0.0005062332593680906,0.00021440628614515203,1.0,1.0,0.0
