family,phi,lambda,observable,block_years,n,annual_rejection_rate,native_rejection_rate,mechanistic_misattribution_rate,native_only_rate,median_null_gap,annual_valid_fraction,native_valid_fraction,annual_spectral_error_median,native_spectral_error_median,exact_total,exact_group
periodic,0.2,0.0,maxrun,50,300,0.16333333333333333,0.043333333333333335,0.12,0.0,0.0134311197867253,1.0,1.0,0.01502562272494555,0.0049392581621187,1.0,1.0
periodic,0.2,0.0,maxrun,252,300,0.16333333333333333,0.043333333333333335,0.12,0.0,0.010001726360029349,1.0,1.0,0.01502562272494555,0.00022418624186865,1.0,1.0
periodic,0.2,0.5,count,50,300,0.13,0.05,0.08,0.0,0.0,1.0,1.0,0.0022166021805742004,0.00495801716010925,1.0,1.0
periodic,0.2,0.5,count,252,300,0.13,0.043333333333333335,0.08666666666666667,0.0,0.0,1.0,1.0,0.0022166021805742004,0.00022407179772915,1.0,1.0
periodic,0.2,0.5,maxrun,50,300,0.13,0.05333333333333334,0.07666666666666666,0.0,0.0,1.0,1.0,0.012382497860447001,0.00495801716010925,1.0,1.0
periodic,0.2,0.5,maxrun,252,300,0.13,0.05,0.08,0.0,0.0,1.0,1.0,0.012382497860447001,0.00022407179772915,1.0,1.0
periodic,0.2,1.0,count,50,300,0.15333333333333332,0.056666666666666664,0.09666666666666666,0.0,0.0,1.0,1.0,0.0024008439307794,0.0049569790784857,1.0,1.0
periodic,0.2,1.0,count,252,300,0.15333333333333332,0.056666666666666664,0.09666666666666666,0.0,0.0,1.0,1.0,0.0024008439307794,0.00022300140388540002,1.0,1.0
periodic,0.2,1.0,maxrun,50,300,0.13,0.07333333333333333,0.06,0.0033333333333333335,0.0,1.0,1.0,0.0103969472761179,0.0049569790784857,1.0,1.0
periodic,0.2,1.0,maxrun,252,300,0.13,0.07,0.06333333333333334,0.0033333333333333335,0.0,1.0,1.0,0.0103969472761179,0.00022300140388540002,1.0,1.0
periodic,0.2,2.0,count,50,300,0.25,0.056666666666666664,0.19333333333333333,0.0,0.018390565581434253,1.0,1.0,0.00344699904483875,0.0049581355563817,1.0,1.0
periodic,0.2,2.0,count,252,300,0.25,0.07,0.18,0.0,0.0150009151643162,1.0,1.0,0.00344699904483875,0.00022397463426215,1.0,1.0
periodic,0.2,2.0,maxrun,50,300,0.13,0.06333333333333334,0.06666666666666667,0.0,0.0,1.0,1.0,0.0070073236816016,0.0049581355563817,1.0,1.0
periodic,0.2,2.0,maxrun,252,300,0.13,0.06,0.07,0.0,0.0,1.0,1.0,0.0070073236816016,0.00022397463426215,1.0,1.0
periodic,0.2,4.0,count,50,300,0.15666666666666668,0.06,0.09666666666666666,0.0,0.0,1.0,1.0,0.00611262945495605,0.004927232746625,1.0,1.0
periodic,0.2,4.0,count,252,300,0.15666666666666668,0.06333333333333334,0.09333333333333334,0.0,0.0,1.0,1.0,0.00611262945495605,0.00022333864692735,1.0,1.0
periodic,0.2,4.0,maxrun,50,300,0.19333333333333333,0.04666666666666667,0.14666666666666667,0.0,0.010484349216171598,1.0,1.0,0.0061807807360421,0.004927232746625,1.0,1.0
